"ticker","skew","kurt","avg","sdev","sharpe","cor_wti","cor_es1","cor_yld10y","cor_effr","beta_wti","beta_es1","beta_yld10y","beta_effr"
"CHTR",-2.49531540077627e-06,6.91912820545681e-07,-0.000704731616385221,0.0166917696579209,-0.0422203056253413,0.03169603390619,0.291351427792206,0.0436520462849103,0.00612008316145303,0.00578782234011156,0.954294574536394,0.00035143675110312,4.48879574107198e-05
"CI",5.14668344092503e-06,7.99718283027976e-07,-0.000267163346121749,0.0149603644060689,-0.0178580774418416,0.111855202114477,0.390038122820547,0.138466510234817,-0.0158918518836391,0.0436145936534636,2.72795835639537,0.00237819527346078,-0.000248892840144044
"CL",4.22081027114295e-07,8.76069676575998e-08,2.43223996251056e-05,0.00968974943531197,0.00251011646766308,0.04377720882983,0.321863769647899,-0.0917469365127741,0.0012082543635178,0.0599892837415097,7.9113889584798,-0.00553844248100612,6.65037648399511e-05
"CMCSA",1.95899385194252e-06,2.03878627797868e-07,-0.000113776902554125,0.01220827841768,-0.00931965168728077,0.0323409980175435,0.45883894454813,0.123437041685685,0.000935088725339503,0.0666030746851445,16.944625296507,0.011162841870839,7.73416511511802e-05
"CME",-2.90590819655254e-09,9.23551923069825e-08,-0.00105111135957349,0.0110101740574471,-0.0954672790901557,0.0400435039921781,0.521897134292581,0.35055114627643,-0.0399424465084278,0.027230087851532,6.36585755456006,0.010539255817914,-0.00109097269870158
"CMG",1.12424652449233e-05,3.47071746104423e-06,0.000966770402935194,0.0219319200274635,0.0440805183369531,0.123065767933645,0.216386622708737,0.138251633186193,0.0297029966048602,0.0147320317403551,0.464633825564066,0.000729760287849328,0.000142819627672527
"CMI",2.40775177907078e-06,3.42844481484309e-07,-0.000723696567583118,0.0141046941083222,-0.0513089161682787,0.248069240026006,0.539410941698806,0.267991112771478,-0.100519348024811,0.118106655792142,4.60655481199799,0.00561189196063113,-0.00192226549609409
"COF",9.58151447904435e-07,3.53494676800802e-07,-0.000509408974676409,0.015048715305735,-0.0338506619553281,0.179304468700167,0.628755688480904,0.444871129373418,0.0184866256493901,0.138102730513484,8.68656580970736,0.0149906943278149,0.000571914424298386
"COP",-2.80429606362205e-06,5.23885778078824e-07,-0.00071444003215426,0.0178464935231289,-0.0400325156999807,0.649218177973634,0.438965212145533,0.303731438681536,0.00986722579422641,0.733762283635932,8.89917715062706,0.0151234493425329,0.000447942253707353
"COST",1.6182749079931e-06,2.00654579656949e-07,-0.000258618604519575,0.0118605149785078,-0.0218050063583422,0.0649356510094574,0.420371728018248,0.0680695937353479,-0.0764955114579317,0.0309756111938003,3.59584548924648,0.00142757714477085,-0.00146552218226608
"CRM",1.64044502133923e-06,2.44969539647895e-07,-0.00072262744650642,0.0137110432274475,-0.0527040455287766,0.0495086648356579,0.530685421057031,0.149696042444289,-0.0731582929967165,0.0391666293761833,7.53055831548051,0.00531308433512629,-0.00232466725772891
"CSCO",1.48470379440387e-06,1.82583469803806e-07,-0.000854481441437581,0.0114233656490847,-0.0748011984984521,0.107388472489854,0.704326062498385,0.171722905620449,-0.0309852077961118,0.2604831199267,30.6443711818657,0.0183336513689012,-0.00301882949237098
"CSRA",-2.38007585043516e-05,6.75190483230433e-06,-0.000693170709128138,0.0185470041031849,-0.0373737292164133,-0.0107583430557955,0.31651358812387,0.19583565667306,0.0271060425051859,-0.0165383441234828,8.72758384851953,0.0132003248222381,0.00167368992468762
"CSX",-1.13779724714748e-05,2.83968881212712e-06,-0.00141964666305692,0.0175766993028324,-0.0807686721265212,0.147757990535149,0.456390098566137,0.206414066482124,-0.0242111184521252,0.174233552516794,9.65321689445781,0.010717003881641,-0.00114672140473107
"CTL",6.60010325019732e-06,2.00972119750891e-06,0.0013509366475928,0.0215143792137201,0.0627922671703807,0.167614550877093,0.362299738214616,0.0863768848393393,0.033480722268237,0.342698813930846,13.2869083354201,0.00777283059822585,0.00274952677419514
"CTSH",7.53941412249367e-06,1.34728715585903e-06,-0.000386679562877152,0.0145284391768204,-0.0266153547652996,0.0979539977416004,0.478816866030868,0.162717204984933,0.0391834432214329,0.107478628636525,9.42376452932176,0.00786071423852771,0.00172689049448911
"CVS",6.10484789515391e-06,8.20446873265853e-07,0.00112611335762695,0.0146735723694147,0.0767443216468673,0.0377738571326861,0.320699192347279,0.0853671937097689,-0.0500719404996876,0.0310719145506956,4.73183488446775,0.00310604469227718,-0.00165437269705394
"CVX",7.06700618819144e-07,9.29888069704039e-08,-0.000454996699717692,0.010915371137953,-0.04168403382416,0.454181685514394,0.592884843822654,0.164257127701754,-0.0451024741940609,0.358388821452689,8.39170524035869,0.0057105755793073,-0.00142951084738677
"CXO",1.08789306548419e-06,8.950340703628e-07,-0.000705302246955022,0.0187686835108695,-0.0375786744204281,0.594396151716308,0.394862378239842,0.203953367578591,-0.0302643927762747,0.227549100747005,2.7114395495572,0.0034491350965652,-0.000465364607111506
"D",9.3739400864615e-07,6.45102038889538e-08,0.000103030530908066,0.00971206819974339,0.010608505705385,-0.018620667376175,0.194028608094561,-0.334952417965656,-0.122454362467226,-0.0244593230515063,4.57161863139853,-0.0193869005942687,-0.00646079116719445
"DAL",3.02229773331494e-06,5.39089932828126e-07,-0.000194755712502336,0.0172943997652208,-0.0112612010330646,0.0469064423829302,0.513598755134137,0.243642450913519,0.0570801905912212,0.055534365512725,10.9070754307337,0.0127152968537112,0.00271441961462645
"DE",-4.3288336316828e-06,7.65785713308058e-07,-0.00134331652943522,0.0143636249566709,-0.0935221111305431,0.197025627785457,0.585115271222435,0.211017308411027,-0.041825632589874,0.109151495800602,5.81438037480651,0.00514739430760689,-0.000930704343902803
"DG",2.00908306396612e-05,4.42036406692224e-06,-7.76608148820212e-06,0.0174891366169233,-0.000444051736704218,-0.047478118793257,0.301742940422305,0.00824920708359381,-0.00577845600616842,-0.032202207529626,3.67099924269072,0.00024658976504297,-0.000157422282148069
